#OK
#SQL= select * from MDR1..BDMW where snapnum = 85 and z between 680.000000 and 720.000000 and Mtot > 5e13
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2013-07-25 18:47:02.521 CEST
#QUERYTIME 310 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8507778902,85,7778902,-1,55.9773,66.4549,684.4341,-153.57,-89.55,73.39,6518,5.652E13,5.8220001E13,0.6321,755.1,715.8,8.135,0.0147,0.3043,0.0239,0.3266,0.8387,0.7814,-0.2687,0.9568,-0.1115,57,68,700,1055812887
8507779321,85,7779321,-1,93.6376,14.4323,689.9391,20.04,-359.82,428.31,11039,9.5729998E13,1.01199999E14,0.7599,891.6,851.0,8.201,0.0344,0.2581,0.0093,0.3797,0.807,0.6172,-0.5967,0.8024,-0.0119,95,14,706,1056603567
8507779345,85,7779345,-1,43.8956,36.2515,680.1976,-70.36,168.91,378.39,20378,1.76700004E14,1.83499995E14,0.9227,1047.0,944.6,4.239,0.0387,0.3141,0.0132,0.5191,0.7676,0.5523,0.9115,-0.2987,0.2828,44,37,696,1055054871
8507780224,85,7780224,-1,121.9088,78.4967,682.1769,-139.36,364.17,-214.7,8452,7.3300001E13,7.5189996E13,0.6882,796.6,758.0,6.947,0.0148,0.245,0.0362,0.3536,0.783,0.5726,-0.0658,0.7899,-0.6097,124,80,698,1055480922
8507780403,85,7780403,-1,82.913,40.2567,688.3224,-394.65,304.93,-144.49,6621,5.7420001E13,6.2659999E13,0.6479,734.5,628.3,3.352,0.1169,0.4724,0.0802,0.3778,0.8829,0.5127,-0.6727,0.2556,0.6943,84,41,704,1056568023
8507782174,85,7782174,-1,107.9337,4.5069,690.7457,-450.49,176.03,449.85,11411,9.8959998E13,1.20300004E14,0.8011,888.8,787.0,5.583,0.0683,0.4132,0.0297,0.431,0.6057,0.4935,-0.2201,0.5844,0.781,110,4,707,1056608023
8507782181,85,7782181,-1,19.0292,28.8553,686.6384,382.61,148.94,118.5,5602,4.8580002E13,5.1000002E13,0.6048,710.2,658.9,6.983,0.0176,0.3011,0.0184,0.3122,0.784,0.7031,-0.4343,0.8603,-0.2671,19,29,703,1054924177
8507782456,85,7782456,-1,49.9785,17.8823,695.2335,102.32,-47.93,636.44,6645,5.7630001E13,5.9720002E13,0.6375,690.0,668.8,5.344,0.035,0.193,0.0401,0.3451,0.8411,0.714,0.4554,-0.4829,0.7479,51,18,711,1056761320
8507783162,85,7783162,-1,51.5563,6.8842,698.5851,335.35,-201.61,555.54,5106,4.4280001E13,5.3359998E13,0.614,699.7,618.0,6.597,0.0489,0.4485,0.115,0.3136,0.7377,0.6207,0.8124,-0.5458,0.2051,52,7,715,1056743078
8507784834,85,7784834,-1,118.697,110.3357,689.9278,-22.22,205.37,-31.95,5738,4.9759998E13,5.5079999E13,0.6205,704.0,635.9,5.687,0.0788,0.3052,0.041,0.3277,0.6629,0.5443,0.3487,0.5336,0.7706,121,112,706,1056268811
8507785208,85,7785208,-1,99.3767,2.8053,694.2361,-4.34,-140.46,-13.78,7314,6.3429998E13,6.5860002E13,0.6586,728.2,671.8,4.347,0.0432,0.2847,0.0262,0.3652,0.5931,0.5214,0.7355,-0.6582,0.1609,101,2,710,1056604549
8507785498,85,7785498,-1,41.8005,50.0091,695.7375,-118.78,274.74,-362.88,26634,2.31000001E14,2.49900005E14,1.0249,1276.0,1063.0,5.593,0.06,0.6043,0.0726,0.5555,0.7928,0.6277,-0.4742,-0.1017,0.8745,42,51,712,1056790551
8507788042,85,7788042,-1,56.7329,39.9245,692.1786,-183.08,-240.19,-99.96,20073,1.74100006E14,1.95799993E14,0.9456,1100.0,941.3,4.837,0.0704,0.4897,0.0922,0.525,0.4698,0.379,0.2577,0.9656,-0.035,58,40,708,1056773338
8507789320,85,7789320,-1,46.7596,6.6956,709.4857,397.5,188.77,293.25,10576,9.172E13,9.4360004E13,0.7425,828.6,794.6,5.936,0.0299,0.2164,0.0223,0.3892,0.7453,0.7021,-0.2371,0.6141,0.7528,47,6,726,1056749561
8507789671,85,7789671,-1,95.4802,94.7869,693.3802,4.74,-40.83,-233.22,9321,8.0830001E13,8.3459997E13,0.7127,809.7,715.2,3.611,0.0696,0.3497,0.0208,0.4019,0.59,0.5216,0.2638,-0.4626,0.8464,97,97,710,1056263500
8507790090,85,7790090,-1,50.6652,16.4482,704.6903,267.96,-656.13,739.2,39991,3.46799986E14,4.05000015E14,1.2045,1411.0,1256.0,7.243,0.0603,0.4262,0.0351,0.6087,0.6803,0.5654,0.0216,-0.7101,0.7037,51,16,721,1056765354
8507792700,85,7792700,-1,35.3554,123.8829,709.1757,79.71,40.22,-17.94,6281,5.447E13,5.6309999E13,0.6252,675.5,625.3,3.51,0.1262,0.2286,0.0747,0.3564,0.5225,0.4408,0.0868,0.1532,0.9844,36,126,726,1055944404
8507799274,85,7799274,-1,58.0436,2.9646,716.4968,-80.33,67.6,-236.04,10314,8.9440001E13,1.04600003E14,0.7685,830.7,721.6,3.449,0.1581,0.3929,0.0367,0.4415,0.5231,0.3824,0.7991,-0.5667,0.2009,59,3,733,1056735463
8507799290,85,7799290,-1,52.4589,13.9605,717.4017,-214.83,-599.1,-265.32,6228,5.4009998E13,5.555E13,0.6225,660.9,628.4,3.794,0.0216,0.2013,0.0499,0.3501,0.6331,0.5014,0.3962,0.7119,0.5799,53,14,734,1056736339
8507800291,85,7800291,-1,91.5279,28.559,717.7297,-204.74,-186.44,-125.35,8221,7.1289998E13,7.3270003E13,0.6824,793.0,731.3,5.962,0.0361,0.2986,0.025,0.3648,0.6639,0.6454,0.7338,0.4604,-0.4996,93,29,734,1056584314
8508086629,85,8086629,-1,753.6462,167.3641,687.7571,568.42,69.26,384.73,9702,8.4140003E13,9.0249997E13,0.7315,842.2,765.7,5.886,0.0138,0.3111,0.0171,0.3896,0.5982,0.5441,-0.605,0.7917,-0.0846,771,171,704,563997606
